date_key,year,month,day,day_of_week,is_weekend,is_american_holiday,american_holiday_name,is_canadian_holiday,canadian_holiday_name
0536b6b1-cc33-4f8a-a678-4907196dce7e,2017,12,25,Monday,False,True,Christmas Day,True,Christmas Day
4eea2165-1b93-4a70-8b93-af6d626104de,2018,3,15,Thursday,False,False,,False,
27f11ac6-072c-42e8-a10c-08005cfbbda9,2018,4,7,Saturday,True,False,,False,
24348a90-7957-4d67-b217-b6d6c2e0d901,2018,4,5,Thursday,False,False,,False,
d47d18f7-eb28-44d1-bd29-a5a73393b924,2018,6,20,Wednesday,False,False,,False,
23977fb9-dd52-4c75-b239-9c3a161e9413,2018,6,21,Thursday,False,False,,False,
8e48ab8b-74bb-4e80-b385-e8a6d333f593,2018,6,2,Saturday,True,False,,False,
a0311a36-b293-48b8-949b-bec2c7e4e53e,2018,4,20,Friday,False,False,,False,
04c4b126-965d-4068-b238-2c7339f7092a,2018,4,18,Wednesday,False,False,,False,
0e1ac27c-3487-459e-9e6e-26f4d029efde,2018,6,22,Friday,False,False,,False,
ea0fca08-66c6-457e-84c6-a9b17a781d34,2018,5,27,Sunday,True,False,,False,
8e3c9e74-dedb-4016-a2c9-0a1e0b7209a1,2018,5,25,Friday,False,False,,False,
b2de9afd-17ae-4128-9fe0-9911b285235a,2018,3,12,Monday,False,False,,False,
8590e9ef-c3cf-43ed-beb7-0ea515018daa,2018,3,11,Sunday,True,False,,False,
6723e0de-c30f-453a-97af-4d6498d4cbed,2018,3,10,Saturday,True,False,,False,
eaaa6513-0419-4735-9e58-ed8f9a9f7f89,2018,4,4,Wednesday,False,False,,False,
8344720b-368d-4e12-bfc4-930aa6f31a22,2018,3,31,Saturday,True,False,,False,
5b019d5d-4310-4ce9-91b1-51d18b76fbb5,2018,4,3,Tuesday,False,False,,False,
0998ff42-b4ff-475c-86da-7301af997c70,2018,6,19,Tuesday,False,False,,False,
7f5ec1b0-4617-42b5-bbd5-cb86e77b36a3,2018,5,24,Thursday,False,False,,False,
4b158d95-0079-4719-9ce4-12c9b96af2b1,2018,5,9,Wednesday,False,False,,False,
726edd8b-0153-4f8b-9d6b-505218234634,2018,6,14,Thursday,False,False,,False,
59dc6ab9-610d-44c0-8bfa-e403a98b9bc4,2018,6,18,Monday,False,False,,False,
a2f514e0-921e-4102-8eca-5df9ba283576,2018,6,15,Friday,False,False,,False,
ac7152f8-34e6-4f73-8436-d6087937fa3b,2018,6,17,Sunday,True,False,,False,
13175378-f593-458c-93c5-3cb07faea7a2,2018,6,13,Wednesday,False,False,,False,
eaf30ded-a638-4826-b4bc-4250204a2ff6,2018,6,23,Saturday,True,False,,False,
8609ac34-065f-4024-8f77-3c69520c6389,2018,6,24,Sunday,True,False,,False,
4cadb8e8-b2b1-4eb4-bcb6-d50455735437,2018,6,6,Wednesday,False,False,,False,
e6535b12-06a9-4ef6-9fcc-1680b25b6df3,2018,3,24,Saturday,True,False,,False,
02dcd562-fcd5-482e-bcb1-d297cb739d72,2018,3,20,Tuesday,False,False,,False,
631d4af1-1cbe-475a-bb49-25eccb9fd6fe,2017,11,27,Monday,False,False,,False,
bd6dcfeb-f3e7-4a60-958f-df953f36532a,2017,12,14,Thursday,False,False,,False,
1fd3df95-4517-4d59-b677-7854d24d0035,2018,5,26,Saturday,True,False,,False,
e7358e0b-0d96-4a6d-ab6f-a52d59c49577,2018,6,25,Monday,False,False,,False,
d5cbb20e-829f-4a9b-b93e-5b260932281e,2018,3,14,Wednesday,False,False,,False,
5e160800-3265-4dd4-ab14-0451c6fdbcc0,2017,12,19,Tuesday,False,False,,False,
64253e02-6737-43ea-9177-02f6d82cf798,2018,6,10,Sunday,True,False,,False,
b6b6ed9e-4593-4d7f-9abf-03917fb2c76f,2018,3,22,Thursday,False,False,,False,
11086c40-2b3c-4576-b41d-bf0bc90b6b7e,2018,6,16,Saturday,True,False,,False,
8e8e920b-8497-4324-a907-de8028649159,2018,6,8,Friday,False,False,,False,
a61a1089-6edd-4642-91e1-f14d673ece65,2018,3,29,Thursday,False,False,,False,
4c2c2bfd-7c2e-4282-8799-f44451862ef1,2018,5,14,Monday,False,False,,False,
e9918b1b-28a8-4484-a28c-cb39804c6251,2018,6,5,Tuesday,False,False,,False,
9315d842-17d9-4d15-9c0d-63984f96812d,2016,6,19,Sunday,True,False,,False,
9ba50ca0-caea-48c7-810a-d1716c9c68e0,2018,3,16,Friday,False,False,,False,
